-40,-1.69e-06,-1.105e-05,-1.3e-05
-35,-1.56e-06,-1.02e-05,-1.2e-05
-30,-1.43e-06,-9.35e-06,-1.1e-05
-25,-1.3e-06,-8.5e-06,-1e-05
-20,-1.17e-06,-7.65e-06,-9e-06
-15,-1.04e-06,-6.8e-06,-8e-06
-10,-9.1e-07,-5.95e-06,-7e-06
-5,-7.8e-07,-5.1e-06,-6e-06
0,-6.5e-07,-4.25e-06,-5e-06
5,-5.2e-07,-3.4e-06,-4e-06
10,-3.9e-07,-2.55e-06,-3e-06
15,-2.6e-07,-1.7e-06,-2e-06
20,-1.3e-07,-8.5e-07,-1e-06
25,0,0,0
30,1.3e-07,8.5e-07,1e-06
35,2.6e-07,1.7e-06,2e-06
40,3.9e-07,2.55e-06,3e-06
45,5.2e-07,3.4e-06,4e-06
50,6.5e-07,4.25e-06,5e-06
55,7.8e-07,5.1e-06,6e-06
60,9.1e-07,5.95e-06,7e-06
65,1.04e-06,6.8e-06,8e-06
70,1.17e-06,7.65e-06,9e-06
75,1.3e-06,8.5e-06,1e-05
80,1.43e-06,9.35e-06,1.1e-05
85,1.56e-06,1.02e-05,1.2e-05
90,1.69e-06,1.105e-05,1.3e-05
95,1.82e-06,1.19e-05,1.4e-05
100,1.95e-06,1.275e-05,1.5e-05
105,2.08e-06,1.36e-05,1.6e-05
110,2.21e-06,1.445e-05,1.7e-05
115,2.34e-06,1.53e-05,1.8e-05
120,2.47e-06,1.615e-05,1.9e-05
125,2.6e-06,1.7e-05,2e-05
